Category,Merchant Name,Amount
Payments and Fees,INTERNET PMT-THANK YOU   ,($229.73)
Miscellaneous,AmazonPckupCampusLckr    ,$10.79 
Dining Out,K BOP RESTAURANT         ,$4.74 
Miscellaneous,AmazonPckupCampusLckr    ,$11.18 
Dining Out,SQ *BANANARCHY           ,$5.50 
Dining Out,WENDY'S 126              ,$2.59 
Payments and Fees,SCORECARD CASHBACK RWRD  ,($1.08)
Groceries,SQ *BENNU COFFEE         ,$5.06 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,FAVOR KERBEY LANE CAFE   ,$25.72 
Groceries,SQ *BENNU COFFEE         ,$8.25 
Dining Out,LE CAFE CREPE            ,$23.00 
Dining Out,TORCHYS TACOS - 3 - GU   ,$13.21 
Dining Out,SQ *PATRIZI'S            ,$14.94 
Dining Out,SQ *401 CONGRESS -       ,$4.90 
Entertainment,SQ *O'S CAMPUS CAFE      ,$3.34 
Dining Out,SQ *DONFOODTRUCK  L      ,$6.50 
Dining Out,SQ *COCO'S CAFE          ,$4.51 
Dining Out,SQ *WAFFLE LOVE ATX      ,$8.00 
Recreation,AUSTIN BOULDERING PROJ   ,$17.32 
Dining Out,TORCHYS TACOS - 3 - GU   ,$5.95 
Dining Out,SQ *PATRIZI'S            ,$12.98 
Miscellaneous,ARAMARK STUDENT ACTIVITY ,$2.33 
Entertainment,AMAZON MKTPLACE PMTS     ,$14.95 
Dining Out,SQ *ANNA BANANDERSON  LLC,$5.50 
Payments and Fees,INTERNET PMT-THANK YOU   ,($172.95)
Dining Out,ARAMARK STUDENT ACTIVITY ,$2.90 
Groceries,PP*SHAKESMARTI           ,$6.98 
Entertainment,ALAMO SLAUGHTER LANE RETA,$54.72 
Dining Out,ALAMO SLAUGHTER LANE REST,$5.01 
Dining Out,SQ *STEEL CITY POPS      ,$3.78 
Dining Out,TST* BOULDIN CREEK CAFE  ,$15.23 
Groceries,SQ *SUMMERMOON           ,$6.00 
Dining Out,PANERA BREAD #204445     ,$6.81 
Dining Out,PANERA BREAD #204445     ,$2.19 
Miscellaneous,ARAMARK STUDENT ACTIVITY ,$1.29 
Dining Out,SQ *DONFOODTRUCK  L      ,$7.50 
Dining Out,SQ *TAPIOCA HOUSE        ,$3.32 
Dining Out,SQ *PINCH                ,$6.00 
Dining Out,SQ *ANNA BANANDERSON  LLC,$3.50 
Dining Out,SQ *PINCH                ,$6.00 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,SQ *DONFOODTRUCK  L      ,$6.50 
Groceries,PP*SHAKESMARTI           ,$6.98 
Dining Out,SQ *WAFFLE LOVE ATX      ,$6.50 
Dining Out,SQ *CAFFE MEDICI         ,$6.00 
Dining Out,24 DINER                 ,$8.00 
Dining Out,TAPIOCA HOUSE            ,$3.33 
Dining Out,SQ *DONFOODTRUCK  L      ,$7.50 
Dining Out,KUNG FU TEA - AUSTIN     ,$4.62 
Dining Out,EINSTEIN BROS BAGELS2846 ,$5.44 
Payments and Fees,INTERNET PMT-THANK YOU   ,($12.75)
Dining Out,DD/BR #355895            ,$1.09 
Dining Out,KERBEY LANE CAFE-UT      ,$25.00 
Dining Out,TACO MORE                ,$7.30 
Dining Out,SQ *PHO PLEASE           ,$10.20 
Dining Out,KERBEY LANE CAFE-UT      ,$5.28 
Entertainment,SQ *CAMPUS CAFE ASS      ,$7.58 
Dining Out,HALAL BROS               ,$7.57 
Miscellaneous,AmazonPckupCampusLckr    ,$9.73 
Dining Out,SQ *SPACE 24 TWENTY      ,$8.23 
Entertainment,AMAZON MKTPLACE PMTS     ,$5.99 
Dining Out,TORCHYS TACOS - 3 - GU   ,$10.01 
Miscellaneous,AmazonPckupCampusLckr    ,$3.13 
Miscellaneous,ARAMARK STUDENT ACTIVITY ,$4.64 
Miscellaneous,ARAMARK STUDENT ACTIVITY ,$1.29 
Groceries,TIFF'S TREATS            ,$7.50 
Dining Out,SQ *COLD COOKIE COM      ,$7.52 
Dining Out,ZEN JAPANESE FOOD FAST   ,$2.15 
Dining Out,TAPIOCA HOUSE            ,$3.02 
Groceries,SQ *BENNU COFFEE         ,$4.33 
Entertainment,AMAZON MKTPLACE PMTS     ,$12.75 
